Year,Jurisdiction,Tonnes
2006,ACT,920472.0
2006,NSW,28763265.0
2006,NT,2159947.0
2006,Qld,24892695.0
2006,SA,3390415.0
2006,Tas,2360956.0
2006,Vic,27353206.0
2006,WA,17428971.0
2007,ACT,21176.0
2007,NSW,4189221.0
2007,NT,80690.0
2007,Qld,10988466.0
2007,SA,1116996.0
2007,Tas,361373.0
2007,Vic,4620408.0
2007,WA,620450.0
2008,ACT,1008981.0
2008,NSW,35035839.0
2008,NT,1317064.0
2008,Qld,26010547.0
2008,SA,3389400.0
2008,Tas,1947515.0
2008,Vic,24971317.0
2008,WA,18002250.0
2009,ACT,853930.0
2009,NSW,29251864.0
2009,NT,1332740.0
2009,Qld,24704800.0
2009,SA,3300135.0
2009,Tas,2009503.0
2009,Vic,24480631.0
2009,WA,23167764.0
2010,ACT,1142134.0
2010,NSW,28343291.0
2010,NT,1346711.0
2010,Qld,22061104.0
2010,SA,3713168.0
2010,Tas,2284024.0
2010,Vic,24900666.0
2010,WA,17459603.0
2011,ACT,51222.0
2011,NSW,4555742.0
2011,NT,86798.0
2011,Qld,3632213.0
2011,SA,3371414.0
2011,Tas,455903.0
2011,Vic,3567068.0
2011,WA,854156.0
2012,ACT,58897.0
2012,NSW,6859292.0
2012,NT,89245.0
2012,Qld,4865365.0
2012,SA,1841552.0
2012,Tas,455763.0
2012,Vic,3684962.0
2012,WA,1078104.0
2013,ACT,1031800.0
2013,NSW,33478857.0
2013,NT,2156500.0
2013,Qld,26157164.0
2013,SA,4102275.0
2013,Tas,2043798.0
2013,Vic,19358029.0
2013,WA,13136212.0
2014,ACT,1049506.0
2014,NSW,29637476.0
2014,NT,1732221.0
2014,Qld,25479392.0
2014,SA,3860503.0
2014,Tas,2371785.0
2014,Vic,20105252.0
2014,WA,15813482.0
2015,ACT,1660304.0
2015,NSW,30746289.0
2015,NT,1306303.0
2015,Qld,26121475.0
2015,SA,4230124.0
2015,Tas,2493009.0
2015,Vic,20472709.0
2015,WA,12950437.0
2016,ACT,3007545.0
2016,NSW,32367739.0
2016,NT,1498083.0
2016,Qld,29411430.0
2016,SA,3869444.0
2016,Tas,2082172.0
2016,Vic,22077169.0
2016,WA,11014779.0
2017,ACT,1809393.0
2017,NSW,32300204.0
2017,NT,1541777.0
2017,Qld,30902161.0
2017,SA,3971106.0
2017,Tas,2137117.0
2017,Vic,23782416.0
2017,WA,11550912.0
2018,ACT,1338698.0
2018,Australia,2216242379.0
2018,NSW,231721625.0
2018,NT,134295379.0
2018,Qld,247090316.0
2018,SA,162087328.0
2018,Tas,7647417.0
2018,Vic,35175702.0
2018,WA,1064415010.0
2019,ACT,1701651.0
2019,NSW,38875377.0
2019,NT,1571590.0
2019,Qld,19975723.0
2019,SA,3867054.0
2019,Tas,2201218.0
2019,Vic,26571511.0
2019,WA,12246531.0
2020,ACT,1546341.0
2020,Australia,3735024215.0
2020,NSW,354202166.0
2020,NT,143166998.0
2020,Qld,349220035.0
2020,SA,211998204.0
2020,Tas,23289403.0
2020,Vic,40904583.0
2020,WA,1463706238.0
